time,motorStatePos_0,motorStateVel_0,motorAction_0,motorStateCur_0
1769687334.007596,3.972748,-0.039674,2.577696,-0.241400
1769687334.027560,3.969680,-0.070803,2.503928,-0.252487
1769687334.047480,3.964311,-0.156865,2.426156,-0.244424
1769687334.067648,3.954724,-0.232551,2.344501,-0.184957
1769687334.087304,3.938999,-0.401623,2.259095,-0.197052
1769687334.107571,3.915606,-0.519425,2.170076,-0.312963
1769687334.127731,3.885692,-0.676290,2.077584,-0.231321
1769687334.147819,3.848108,-0.790429,1.981769,-0.144640
1769687334.167256,3.802470,-0.958282,1.882783,-0.181933
1769687334.187471,3.748780,-1.173131,1.780785,-0.209147
1769687334.207389,3.685885,-1.370891,1.675938,-0.280709
1769687334.227604,3.613786,-1.499679,1.568409,-0.366386
1769687334.247682,3.532482,-1.740776,1.458372,-0.418798
1769687334.267469,3.442741,-1.878109,1.346001,-0.265590
1769687334.287758,3.343413,-2.041078,1.231477,-0.269622
1769687334.307723,3.234881,-2.282784,1.114982,-0.382513
1769687334.327749,3.117145,-2.406080,0.996704,-0.426861
1769687334.347647,2.989820,-2.634968,0.876831,-0.323045
1769687334.367625,2.854825,-2.803431,0.755556,-0.224266
1769687334.387868,2.711777,-2.942594,0.633072,-0.344212
1769687334.407655,2.561059,-3.056734,0.509574,-0.354291
1769687334.427778,2.403054,-3.252052,0.385262,-0.261559
1769687334.447233,2.239297,-3.347881,0.260333,-0.287765
1769687334.467148,2.069787,-3.394879,0.134988,-0.419806
1769687334.487512,1.895292,-3.486434,0.009426,-0.260551
1769687334.507579,1.714276,-3.593249,-0.116150,-0.312963
1769687334.527200,1.532110,-3.709830,-0.241540,-0.357315
1769687334.547200,1.344958,-3.709830,-0.366545,-0.232329
1769687334.567524,1.156274,-3.806268,-0.490962,-0.162783
1769687334.587729,0.965671,-3.792840,-0.614594,-0.263575
1769687334.607864,0.775068,-3.835566,-0.737243,-0.353283
1769687334.627643,0.583698,-3.825800,-0.858713,-0.335140
1769687334.647579,0.394245,-3.770868,-0.978809,-0.192012
1769687334.667718,0.205176,-3.743401,-1.097338,-0.054932
1769687334.687868,0.018408,-3.700675,-1.214112,-0.220234
1769687334.707951,-0.165675,-3.618885,-1.328944,-0.283733
1769687334.727691,-0.346307,-3.540148,-1.441650,-0.030742
1769687334.747158,-0.522336,-3.513901,-1.552049,-0.233337
1769687334.767105,-0.694914,-3.382062,-1.659965,-0.004536
1769687334.787462,-0.862123,-3.300271,-1.765225,-0.237369
1769687334.807654,-1.024347,-3.237404,-1.867661,-0.126497
1769687334.827780,-1.180818,-3.044527,-1.967110,-0.052916
1769687334.848109,-1.330385,-2.965178,-2.063411,-0.010583
1769687334.867789,-1.474200,-2.782677,-2.156411,-0.086181
1769687334.887827,-1.610346,-2.646565,-2.245961,-0.186973
1769687334.907679,-1.739971,-2.484818,-2.331918,0.113391
1769687334.927519,-1.860009,-2.251656,-2.414144,-0.146656
1769687334.947922,-1.974293,-2.166814,-2.492507,-0.018647
1769687334.967863,-2.079758,-2.009338,-2.566883,0.100288
